topic,svg_code,response,score
" 'Turquoise and coral paisley print scarf',","<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <defs>
    <linearGradient id=""grad1"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""0%"">
      <stop offset=""0%"" style=""stop-color:turquoise;stop-opacity:1"" />
      <stop offset=""100%"" style=""stop-color:coral;stop-opacity:1"" />
    </linearGradient>
  </defs>
  <rect x=""0"" y=""0"" width=""200"" height=""200"" fill=""url(#grad1)"" />
  <g transform=""translate(50, 50)"">
    <path d=""M10 10 Q 20 0, 30 10 T 50 10 Q 60 20, 50 30 T 30 30 Q 20 40, 10 30 T 10 10 Z"" fill=""none"" stroke=""turquoise"" stroke-width=""2""/>
    <path d=""M40 40 Q 50 30, 60 40 T 80 40 Q 90 50, 80 60 T 60 60 Q 50 70, 40 60 T 40 40 Z"" fill=""none"" stroke=""coral"" stroke-width=""2""/>
  </g>
  <g transform=""translate(100, 100)"">
    <path d=""M10 10 Q 20 0, 30 10 T 50 10 Q 60 20, 50 30 T 30 30 Q 20 40, 10 30 T 10 10 Z"" fill=""none"" stroke=""turquoise"" stroke-width=""2""/>
    <path d=""M40 40 Q 50 30, 60 40 T 80 40 Q 90 50, 80 60 T 60 60 Q 50 70, 40 60 T 40 40 Z"" fill=""none"" stroke=""coral"" stroke-width=""2""/>
  </g>
</svg>","```svg
<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <defs>
    <linearGradient id=""grad1"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""0%"">
      <stop offset=""0%"" style=""stop-color:turquoise;stop-opacity:1"" />
      <stop offset=""100%"" style=""stop-color:coral;stop-opacity:1"" />
    </linearGradient>
  </defs>
  <rect x=""0"" y=""0"" width=""200"" height=""200"" fill=""url(#grad1)"" />
  <g transform=""translate(50, 50)"">
    <path d=""M10 10 Q 20 0, 30 10 T 50 10 Q 60 20, 50 30 T 30 30 Q 20 40, 10 30 T 10 10 Z"" fill=""none"" stroke=""turquoise"" stroke-width=""2""/>
    <path d=""M40 40 Q 50 30, 60 40 T 80 40 Q 90 50, 80 60 T 60 60 Q 50 70, 40 60 T 40 40 Z"" fill=""none"" stroke=""coral"" stroke-width=""2""/>
  </g>
  <g transform=""translate(100, 100)"">
    <path d=""M10 10 Q 20 0, 30 10 T 50 10 Q 60 20, 50 30 T 30 30 Q 20 40, 10 30 T 10 10 Z"" fill=""none"" stroke=""turquoise"" stroke-width=""2""/>
    <path d=""M40 40 Q 50 30, 60 40 T 80 40 Q 90 50, 80 60 T 60 60 Q 50 70, 40 60 T 40 40 Z"" fill=""none"" stroke=""coral"" stroke-width=""2""/>
  </g>
</svg>
```",0.14323240518569946
" 'Dark forest with a misty, mysterious atmosphere',","<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <defs>
    <linearGradient id=""mistGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1"">
      <stop offset=""0%"" stop-color=""white"" stop-opacity=""0.2""/>
      <stop offset=""100%"" stop-color=""white"" stop-opacity=""0""/>
    </linearGradient>
  </defs>
  <!-- Background for the dark forest -->
  <rect x=""0"" y=""0"" width=""200"" height=""200"" fill=""darkgreen""/>
  <!-- Trees in the forest -->
  <g fill=""black"" opacity=""0.8"">
    <rect x=""20"" y=""50"" width=""10"" height=""100""/>
    <rect x=""50"" y=""40"" width=""10"" height=""110""/>
    <rect x=""80"" y=""60"" width=""10"" height=""90""/>
    <rect x=""110"" y=""45"" width=""10"" height=""105""/>
    <rect x=""140"" y=""55"" width=""10"" height=""95""/>
    <rect x=""170"" y=""50"" width=""10"" height=""100""/>
  </g>
  <!-- Mist effect -->
  <rect x=""0"" y=""0"" width=""200"" height=""200"" fill=""url(#mistGradient)"" />
</svg>","```svg
<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <defs>
    <linearGradient id=""mistGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1"">
      <stop offset=""0%"" stop-color=""white"" stop-opacity=""0.2""/>
      <stop offset=""100%"" stop-color=""white"" stop-opacity=""0""/>
    </linearGradient>
  </defs>
  <!-- Background for the dark forest -->
  <rect x=""0"" y=""0"" width=""200"" height=""200"" fill=""darkgreen""/>
  <!-- Trees in the forest -->
  <g fill=""black"" opacity=""0.8"">
    <rect x=""20"" y=""50"" width=""10"" height=""100""/>
    <rect x=""50"" y=""40"" width=""10"" height=""110""/>
    <rect x=""80"" y=""60"" width=""10"" height=""90""/>
    <rect x=""110"" y=""45"" width=""10"" height=""105""/>
    <rect x=""140"" y=""55"" width=""10"" height=""95""/>
    <rect x=""170"" y=""50"" width=""10"" height=""100""/>
  </g>
  <!-- Mist effect -->
  <rect x=""0"" y=""0"" width=""200"" height=""200"" fill=""url(#mistGradient)"" />
</svg>
```",0.0004541570378933102
" 'golden sun setting over a calm lake',","<svg viewBox=""0 0 100 100"" width=""100"" height=""100"" xmlns=""http://www.w3.org/2000/svg"">
  <defs>
    <linearGradient id=""sunGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1"">
      <stop offset=""0%"" stop-color=""gold"" />
      <stop offset=""100%"" stop-color=""orange"" />
    </linearGradient>
    <linearGradient id=""lakeGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1"">
      <stop offset=""0%"" stop-color=""lightblue"" />
      <stop offset=""100%"" stop-color=""blue"" />
    </linearGradient>
  </defs>
  <!-- Sun -->
  <circle cx=""50"" cy=""40"" r=""10"" fill=""url(#sunGradient)"" />
  <!-- Lake -->
  <rect x=""0"" y=""50"" width=""100"" height=""50"" fill=""url(#lakeGradient)"" />
  <!-- Sun reflection on lake -->
  <ellipse cx=""50"" cy=""60"" rx=""15"" ry=""5"" fill=""gold"" opacity=""0.5"" />
</svg>","```svg
<svg viewBox=""0 0 100 100"" width=""100"" height=""100"" xmlns=""http://www.w3.org/2000/svg"">
  <defs>
    <linearGradient id=""sunGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1"">
      <stop offset=""0%"" stop-color=""gold"" />
      <stop offset=""100%"" stop-color=""orange"" />
    </linearGradient>
    <linearGradient id=""lakeGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1"">
      <stop offset=""0%"" stop-color=""lightblue"" />
      <stop offset=""100%"" stop-color=""blue"" />
    </linearGradient>
  </defs>
  <!-- Sun -->
  <circle cx=""50"" cy=""40"" r=""10"" fill=""url(#sunGradient)"" />
  <!-- Lake -->
  <rect x=""0"" y=""50"" width=""100"" height=""50"" fill=""url(#lakeGradient)"" />
  <!-- Sun reflection on lake -->
  <ellipse cx=""50"" cy=""60"" rx=""15"" ry=""5"" fill=""gold"" opacity=""0.5"" />
</svg>
```",0.7626529932022095
" 'emerald hills under a vibrant rainbow',","<svg viewBox=""0 0 200 100"" width=""200"" height=""100"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Rainbow -->
  <defs>
    <linearGradient id=""rainbowGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1"">
      <stop offset=""0%"" stop-color=""red"" />
      <stop offset=""16.67%"" stop-color=""orange"" />
      <stop offset=""33.33%"" stop-color=""yellow"" />
      <stop offset=""50%"" stop-color=""green"" />
      <stop offset=""66.67%"" stop-color=""blue"" />
      <stop offset=""83.33%"" stop-color=""indigo"" />
      <stop offset=""100%"" stop-color=""violet"" />
    </linearGradient>
  </defs>
  <path d=""M0,50 Q100,-30 200,50"" fill=""none"" stroke=""url(#rainbowGradient)"" stroke-width=""10"" />
  
  <!-- Hills -->
  <path d=""M0,70 Q50,40 100,70 T200,70 L200,100 L0,100 Z"" fill=""green"" />
</svg>","```svg
<svg viewBox=""0 0 200 100"" width=""200"" height=""100"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Rainbow -->
  <defs>
    <linearGradient id=""rainbowGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1"">
      <stop offset=""0%"" stop-color=""red"" />
      <stop offset=""16.67%"" stop-color=""orange"" />
      <stop offset=""33.33%"" stop-color=""yellow"" />
      <stop offset=""50%"" stop-color=""green"" />
      <stop offset=""66.67%"" stop-color=""blue"" />
      <stop offset=""83.33%"" stop-color=""indigo"" />
      <stop offset=""100%"" stop-color=""violet"" />
    </linearGradient>
  </defs>
  <path d=""M0,50 Q100,-30 200,50"" fill=""none"" stroke=""url(#rainbowGradient)"" stroke-width=""10"" />
  
  <!-- Hills -->
  <path d=""M0,70 Q50,40 100,70 T200,70 L200,100 L0,100 Z"" fill=""green"" />
</svg>
```",0.6987294554710388
" 'abstract spirals in shades of blue',","<svg viewBox=""0 0 100 100"" width=""100"" height=""100"" xmlns=""http://www.w3.org/2000/svg"">
  <defs>
    <linearGradient id=""spiralGradient"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%"">
      <stop offset=""0%"" style=""stop-color:rgb(173,216,230);stop-opacity:1"" />
      <stop offset=""100%"" style=""stop-color:rgb(0,0,139);stop-opacity:1"" />
    </linearGradient>
  </defs>
  <g fill=""none"" stroke=""url(#spiralGradient)"" stroke-width=""1"">
    <path d=""M50,50 Q55,45 60,50 T70,50 T80,50"" transform=""rotate(0 50 50)"" />
    <path d=""M50,50 Q55,45 60,50 T70,50 T80,50"" transform=""rotate(45 50 50)"" />
    <path d=""M50,50 Q55,45 60,50 T70,50 T80,50"" transform=""rotate(90 50 50)"" />
    <path d=""M50,50 Q55,45 60,50 T70,50 T80,50"" transform=""rotate(135 50 50)"" />
    <path d=""M50,50 Q55,45 60,50 T70,50 T80,50"" transform=""rotate(180 50 50)"" />
    <path d=""M50,50 Q55,45 60,50 T70,50 T80,50"" transform=""rotate(225 50 50)"" />
    <path d=""M50,50 Q55,45 60,50 T70,50 T80,50"" transform=""rotate(270 50 50)"" />
    <path d=""M50,50 Q55,45 60,50 T70,50 T80,50"" transform=""rotate(315 50 50)"" />
  </g>
</svg>","```svg
<svg viewBox=""0 0 100 100"" width=""100"" height=""100"" xmlns=""http://www.w3.org/2000/svg"">
  <defs>
    <linearGradient id=""spiralGradient"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%"">
      <stop offset=""0%"" style=""stop-color:rgb(173,216,230);stop-opacity:1"" />
      <stop offset=""100%"" style=""stop-color:rgb(0,0,139);stop-opacity:1"" />
    </linearGradient>
  </defs>
  <g fill=""none"" stroke=""url(#spiralGradient)"" stroke-width=""1"">
    <path d=""M50,50 Q55,45 60,50 T70,50 T80,50"" transform=""rotate(0 50 50)"" />
    <path d=""M50,50 Q55,45 60,50 T70,50 T80,50"" transform=""rotate(45 50 50)"" />
    <path d=""M50,50 Q55,45 60,50 T70,50 T80,50"" transform=""rotate(90 50 50)"" />
    <path d=""M50,50 Q55,45 60,50 T70,50 T80,50"" transform=""rotate(135 50 50)"" />
    <path d=""M50,50 Q55,45 60,50 T70,50 T80,50"" transform=""rotate(180 50 50)"" />
    <path d=""M50,50 Q55,45 60,50 T70,50 T80,50"" transform=""rotate(225 50 50)"" />
    <path d=""M50,50 Q55,45 60,50 T70,50 T80,50"" transform=""rotate(270 50 50)"" />
    <path d=""M50,50 Q55,45 60,50 T70,50 T80,50"" transform=""rotate(315 50 50)"" />
  </g>
</svg>
```",0.005049463361501694
" 'crimson silk scarf with delicate embroidery',","<svg viewBox=""0 0 100 100"" width=""100"" height=""100"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Background for the scarf -->
  <rect x=""10"" y=""10"" width=""80"" height=""40"" fill=""crimson"" rx=""5"" ry=""5"" />
  
  <!-- Embroidery pattern -->
  <g fill=""none"" stroke=""gold"" stroke-width=""0.5"">
    <path d=""M15,20 Q25,10 35,20 T55,20"" />
    <path d=""M15,30 Q25,20 35,30 T55,30"" />
    <path d=""M15,40 Q25,30 35,40 T55,40"" />
  </g>
</svg>","```svg
<svg viewBox=""0 0 100 100"" width=""100"" height=""100"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Background for the scarf -->
  <rect x=""10"" y=""10"" width=""80"" height=""40"" fill=""crimson"" rx=""5"" ry=""5"" />
  
  <!-- Embroidery pattern -->
  <g fill=""none"" stroke=""gold"" stroke-width=""0.5"">
    <path d=""M15,20 Q25,10 35,20 T55,20"" />
    <path d=""M15,30 Q25,20 35,30 T55,30"" />
    <path d=""M15,40 Q25,30 35,40 T55,40"" />
  </g>
</svg>
```",0.00010010590631281957
" 'black and white striped dress with a flared skirt',","<svg viewBox=""0 0 200 300"" width=""200"" height=""300"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Dress Top -->
  <rect x=""70"" y=""20"" width=""60"" height=""80"" fill=""black"" />
  <rect x=""70"" y=""20"" width=""60"" height=""10"" fill=""white"" />
  <rect x=""70"" y=""40"" width=""60"" height=""10"" fill=""white"" />
  <rect x=""70"" y=""60"" width=""60"" height=""10"" fill=""white"" />
  <rect x=""70"" y=""80"" width=""60"" height=""10"" fill=""white"" />

  <!-- Flared Skirt -->
  <polygon points=""50,100 150,100 180,200 20,200"" fill=""black"" />
  <line x1=""50"" y1=""100"" x2=""20"" y2=""200"" stroke=""white"" stroke-width=""10"" />
  <line x1=""70"" y1=""100"" x2=""40"" y2=""200"" stroke=""white"" stroke-width=""10"" />
  <line x1=""90"" y1=""100"" x2=""60"" y2=""200"" stroke=""white"" stroke-width=""10"" />
  <line x1=""110"" y1=""100"" x2=""80"" y2=""200"" stroke=""white"" stroke-width=""10"" />
  <line x1=""130"" y1=""100"" x2=""100"" y2=""200"" stroke=""white"" stroke-width=""10"" />
  <line x1=""150"" y1=""100"" x2=""120"" y2=""200"" stroke=""white"" stroke-width=""10"" />
  <line x1=""170"" y1=""100"" x2=""140"" y2=""200"" stroke=""white"" stroke-width=""10"" />
</svg>","```svg
<svg viewBox=""0 0 200 300"" width=""200"" height=""300"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Dress Top -->
  <rect x=""70"" y=""20"" width=""60"" height=""80"" fill=""black"" />
  <rect x=""70"" y=""20"" width=""60"" height=""10"" fill=""white"" />
  <rect x=""70"" y=""40"" width=""60"" height=""10"" fill=""white"" />
  <rect x=""70"" y=""60"" width=""60"" height=""10"" fill=""white"" />
  <rect x=""70"" y=""80"" width=""60"" height=""10"" fill=""white"" />

  <!-- Flared Skirt -->
  <polygon points=""50,100 150,100 180,200 20,200"" fill=""black"" />
  <line x1=""50"" y1=""100"" x2=""20"" y2=""200"" stroke=""white"" stroke-width=""10"" />
  <line x1=""70"" y1=""100"" x2=""40"" y2=""200"" stroke=""white"" stroke-width=""10"" />
  <line x1=""90"" y1=""100"" x2=""60"" y2=""200"" stroke=""white"" stroke-width=""10"" />
  <line x1=""110"" y1=""100"" x2=""80"" y2=""200"" stroke=""white"" stroke-width=""10"" />
  <line x1=""130"" y1=""100"" x2=""100"" y2=""200"" stroke=""white"" stroke-width=""10"" />
  <line x1=""150"" y1=""100"" x2=""120"" y2=""200"" stroke=""white"" stroke-width=""10"" />
  <line x1=""170"" y1=""100"" x2=""140"" y2=""200"" stroke=""white"" stroke-width=""10"" />
</svg>
```",0.019537867978215218
" 'checkerboard pattern of red and green squares',","<svg viewBox=""0 0 100 100"" width=""100"" height=""100"">
  <rect x=""0"" y=""0"" width=""50"" height=""50"" fill=""red"" />
  <rect x=""50"" y=""0"" width=""50"" height=""50"" fill=""green"" />
  <rect x=""0"" y=""50"" width=""50"" height=""50"" fill=""green"" />
  <rect x=""50"" y=""50"" width=""50"" height=""50"" fill=""red"" />
</svg>","```svg
<svg viewBox=""0 0 100 100"" width=""100"" height=""100"">
  <rect x=""0"" y=""0"" width=""50"" height=""50"" fill=""red"" />
  <rect x=""50"" y=""0"" width=""50"" height=""50"" fill=""green"" />
  <rect x=""0"" y=""50"" width=""50"" height=""50"" fill=""green"" />
  <rect x=""50"" y=""50"" width=""50"" height=""50"" fill=""red"" />
</svg>
```",0.9934108853340149
" 'orange and teal geometric shapes interlocking',","<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <defs>
    <linearGradient id=""orangeGradient"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%"">
      <stop offset=""0%"" style=""stop-color:rgb(255,165,0);stop-opacity:1"" />
      <stop offset=""100%"" style=""stop-color:rgb(255,140,0);stop-opacity:1"" />
    </linearGradient>
    <linearGradient id=""tealGradient"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%"">
      <stop offset=""0%"" style=""stop-color:rgb(0,128,128);stop-opacity:1"" />
      <stop offset=""100%"" style=""stop-color:rgb(0,100,100);stop-opacity:1"" />
    </linearGradient>
  </defs>
  <g transform=""translate(50,50)"">
    <rect x=""0"" y=""0"" width=""60"" height=""60"" fill=""url(#orangeGradient)"" />
    <polygon points=""30,0 60,30 30,60 0,30"" fill=""url(#tealGradient)"" transform=""translate(30,30) rotate(45)"" />
  </g>
  <g transform=""translate(90,90)"">
    <rect x=""0"" y=""0"" width=""60"" height=""60"" fill=""url(#tealGradient)"" />
    <polygon points=""30,0 60,30 30,60 0,30"" fill=""url(#orangeGradient)"" transform=""translate(30,30) rotate(45)"" />
  </g>
</svg>","```svg
<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <defs>
    <linearGradient id=""orangeGradient"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%"">
      <stop offset=""0%"" style=""stop-color:rgb(255,165,0);stop-opacity:1"" />
      <stop offset=""100%"" style=""stop-color:rgb(255,140,0);stop-opacity:1"" />
    </linearGradient>
    <linearGradient id=""tealGradient"" x1=""0%"" y1=""0%"" x2=""100%"" y2=""100%"">
      <stop offset=""0%"" style=""stop-color:rgb(0,128,128);stop-opacity:1"" />
      <stop offset=""100%"" style=""stop-color:rgb(0,100,100);stop-opacity:1"" />
    </linearGradient>
  </defs>
  <g transform=""translate(50,50)"">
    <rect x=""0"" y=""0"" width=""60"" height=""60"" fill=""url(#orangeGradient)"" />
    <polygon points=""30,0 60,30 30,60 0,30"" fill=""url(#tealGradient)"" transform=""translate(30,30) rotate(45)"" />
  </g>
  <g transform=""translate(90,90)"">
    <rect x=""0"" y=""0"" width=""60"" height=""60"" fill=""url(#tealGradient)"" />
    <polygon points=""30,0 60,30 30,60 0,30"" fill=""url(#orangeGradient)"" transform=""translate(30,30) rotate(45)"" />
  </g>
</svg>
```",0.9785453081130981
" 'midnight blue sky with shimmering stars',","<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Background representing the midnight blue sky -->
  <rect x=""0"" y=""0"" width=""200"" height=""200"" fill=""midnightblue"" />
  
  <!-- Group of shimmering stars -->
  <g fill=""white"" opacity=""0.8"">
    <!-- Star 1 -->
    <circle cx=""50"" cy=""50"" r=""2"" />
    <!-- Star 2 -->
    <circle cx=""150"" cy=""30"" r=""2"" />
    <!-- Star 3 -->
    <circle cx=""100"" cy=""100"" r=""2"" />
    <!-- Star 4 -->
    <circle cx=""30"" cy=""150"" r=""2"" />
    <!-- Star 5 -->
    <circle cx=""170"" cy=""120"" r=""2"" />
    <!-- Star 6 -->
    <circle cx=""80"" cy=""40"" r=""2"" />
    <!-- Star 7 -->
    <circle cx=""120"" cy=""160"" r=""2"" />
    <!-- Star 8 -->
    <circle cx=""60"" cy=""120"" r=""2"" />
    <!-- Star 9 -->
    <circle cx=""140"" cy=""80"" r=""2"" />
    <!-- Star 10 -->
    <circle cx=""90"" cy=""150"" r=""2"" />
  </g>
</svg>","```svg
<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Background representing the midnight blue sky -->
  <rect x=""0"" y=""0"" width=""200"" height=""200"" fill=""midnightblue"" />
  
  <!-- Group of shimmering stars -->
  <g fill=""white"" opacity=""0.8"">
    <!-- Star 1 -->
    <circle cx=""50"" cy=""50"" r=""2"" />
    <!-- Star 2 -->
    <circle cx=""150"" cy=""30"" r=""2"" />
    <!-- Star 3 -->
    <circle cx=""100"" cy=""100"" r=""2"" />
    <!-- Star 4 -->
    <circle cx=""30"" cy=""150"" r=""2"" />
    <!-- Star 5 -->
    <circle cx=""170"" cy=""120"" r=""2"" />
    <!-- Star 6 -->
    <circle cx=""80"" cy=""40"" r=""2"" />
    <!-- Star 7 -->
    <circle cx=""120"" cy=""160"" r=""2"" />
    <!-- Star 8 -->
    <circle cx=""60"" cy=""120"" r=""2"" />
    <!-- Star 9 -->
    <circle cx=""140"" cy=""80"" r=""2"" />
    <!-- Star 10 -->
    <circle cx=""90"" cy=""150"" r=""2"" />
  </g>
</svg>
```",0.493186891078949
" 'lavender fields stretching to the horizon',","<svg viewBox=""0 0 200 100"" width=""200"" height=""100"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Sky -->
  <rect x=""0"" y=""0"" width=""200"" height=""50"" fill=""lightblue"" />
  
  <!-- Sun -->
  <circle cx=""160"" cy=""20"" r=""10"" fill=""yellow"" />

  <!-- Lavender Fields -->
  <g>
    <!-- Rows of lavender -->
    <polygon points=""0,50 200,50 200,100 0,100"" fill=""purple"" />
    <line x1=""0"" y1=""60"" x2=""200"" y2=""70"" stroke=""darkviolet"" stroke-width=""1"" />
    <line x1=""0"" y1=""70"" x2=""200"" y2=""80"" stroke=""darkviolet"" stroke-width=""1"" />
    <line x1=""0"" y1=""80"" x2=""200"" y2=""90"" stroke=""darkviolet"" stroke-width=""1"" />
    <line x1=""0"" y1=""90"" x2=""200"" y2=""100"" stroke=""darkviolet"" stroke-width=""1"" />
  </g>
</svg>","```svg
<svg viewBox=""0 0 200 100"" width=""200"" height=""100"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Sky -->
  <rect x=""0"" y=""0"" width=""200"" height=""50"" fill=""lightblue"" />
  
  <!-- Sun -->
  <circle cx=""160"" cy=""20"" r=""10"" fill=""yellow"" />

  <!-- Lavender Fields -->
  <g>
    <!-- Rows of lavender -->
    <polygon points=""0,50 200,50 200,100 0,100"" fill=""purple"" />
    <line x1=""0"" y1=""60"" x2=""200"" y2=""70"" stroke=""darkviolet"" stroke-width=""1"" />
    <line x1=""0"" y1=""70"" x2=""200"" y2=""80"" stroke=""darkviolet"" stroke-width=""1"" />
    <line x1=""0"" y1=""80"" x2=""200"" y2=""90"" stroke=""darkviolet"" stroke-width=""1"" />
    <line x1=""0"" y1=""90"" x2=""200"" y2=""100"" stroke=""darkviolet"" stroke-width=""1"" />
  </g>
</svg>
```",0.8992336392402649
" 'vivid orange and purple sunset over the ocean',","<svg viewBox=""0 0 200 100"" width=""200"" height=""100"" xmlns=""http://www.w3.org/2000/svg"">
  <defs>
    <linearGradient id=""sunsetGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1"">
      <stop offset=""0%"" stop-color=""orange"" />
      <stop offset=""100%"" stop-color=""purple"" />
    </linearGradient>
  </defs>
  <!-- Sky -->
  <rect x=""0"" y=""0"" width=""200"" height=""60"" fill=""url(#sunsetGradient)"" />
  <!-- Ocean -->
  <rect x=""0"" y=""60"" width=""200"" height=""40"" fill=""purple"" />
  <!-- Sun -->
  <circle cx=""100"" cy=""60"" r=""15"" fill=""orange"" />
</svg>","```svg
<svg viewBox=""0 0 200 100"" width=""200"" height=""100"" xmlns=""http://www.w3.org/2000/svg"">
  <defs>
    <linearGradient id=""sunsetGradient"" x1=""0"" y1=""0"" x2=""0"" y2=""1"">
      <stop offset=""0%"" stop-color=""orange"" />
      <stop offset=""100%"" stop-color=""purple"" />
    </linearGradient>
  </defs>
  <!-- Sky -->
  <rect x=""0"" y=""0"" width=""200"" height=""60"" fill=""url(#sunsetGradient)"" />
  <!-- Ocean -->
  <rect x=""0"" y=""60"" width=""200"" height=""40"" fill=""purple"" />
  <!-- Sun -->
  <circle cx=""100"" cy=""60"" r=""15"" fill=""orange"" />
</svg>
```",0.8191248178482056
" 'minimalist black and white geometric design',","<svg viewBox=""0 0 100 100"" width=""100"" height=""100"" xmlns=""http://www.w3.org/2000/svg"">
  <rect x=""10"" y=""10"" width=""30"" height=""30"" fill=""black"" />
  <circle cx=""70"" cy=""30"" r=""15"" fill=""none"" stroke=""black"" stroke-width=""2"" />
  <line x1=""10"" y1=""70"" x2=""90"" y2=""70"" stroke=""black"" stroke-width=""2"" />
  <polygon points=""50,50 60,80 40,80"" fill=""black"" />
</svg>","```svg
<svg viewBox=""0 0 100 100"" width=""100"" height=""100"" xmlns=""http://www.w3.org/2000/svg"">
  <rect x=""10"" y=""10"" width=""30"" height=""30"" fill=""black"" />
  <circle cx=""70"" cy=""30"" r=""15"" fill=""none"" stroke=""black"" stroke-width=""2"" />
  <line x1=""10"" y1=""70"" x2=""90"" y2=""70"" stroke=""black"" stroke-width=""2"" />
  <polygon points=""50,50 60,80 40,80"" fill=""black"" />
</svg>
```",2.9393610020633787e-05
" 'turquoise waves crashing against a rocky shore',","<svg viewBox=""0 0 200 100"" width=""200"" height=""100"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Background -->
  <rect x=""0"" y=""0"" width=""200"" height=""100"" fill=""lightblue"" />
  
  <!-- Waves -->
  <path d=""M0,60 Q20,50 40,60 T80,60 T120,60 T160,60 T200,60 V100 H0 Z"" fill=""turquoise"" />
  <path d=""M0,70 Q20,60 40,70 T80,70 T120,70 T160,70 T200,70 V100 H0 Z"" fill=""lightcyan"" />
  
  <!-- Rocky Shore -->
  <polygon points=""0,80 20,70 40,75 60,70 80,80 100,75 120,80 140,70 160,75 180,70 200,80 200,100 0,100"" fill=""gray"" />
</svg>","```svg
<svg viewBox=""0 0 200 100"" width=""200"" height=""100"" xmlns=""http://www.w3.org/2000/svg"">
  <!-- Background -->
  <rect x=""0"" y=""0"" width=""200"" height=""100"" fill=""lightblue"" />
  
  <!-- Waves -->
  <path d=""M0,60 Q20,50 40,60 T80,60 T120,60 T160,60 T200,60 V100 H0 Z"" fill=""turquoise"" />
  <path d=""M0,70 Q20,60 40,70 T80,70 T120,70 T160,70 T200,70 V100 H0 Z"" fill=""lightcyan"" />
  
  <!-- Rocky Shore -->
  <polygon points=""0,80 20,70 40,75 60,70 80,80 100,75 120,80 140,70 160,75 180,70 200,80 200,100 0,100"" fill=""gray"" />
</svg>
```",0.9896059036254883
" 'yellow and gray abstract circles overlapping',","<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <circle cx=""80"" cy=""100"" r=""50"" fill=""yellow"" opacity=""0.7"" />
  <circle cx=""120"" cy=""100"" r=""50"" fill=""gray"" opacity=""0.7"" />
</svg>","```svg
<svg viewBox=""0 0 200 200"" width=""200"" height=""200"" xmlns=""http://www.w3.org/2000/svg"">
  <circle cx=""80"" cy=""100"" r=""50"" fill=""yellow"" opacity=""0.7"" />
  <circle cx=""120"" cy=""100"" r=""50"" fill=""gray"" opacity=""0.7"" />
</svg>
```",0.9839185476303101
